time,parent,analyte,matrix,conc,replicate,microMexp
60,Triadimefon,Triadimefon,microsomes,0.300851183,2,0.68082
60,Triadimefon,Triadimefon,microsomes,0.297372843,3,0.68082
90,Triadimefon,Triadimefon,microsomes,0.30988245,1,0.68082
90,Triadimefon,Triadimefon,microsomes,0.29724505,2,0.68082
90,Triadimefon,Triadimefon,microsomes,0.293730776,3,0.68082
0,Triadimefon,Triadimefon,microsomes,1.66496797,1,10
0,Triadimefon,Triadimefon,microsomes,1.809450976,2,10
0,Triadimefon,Triadimefon,microsomes,2.047584443,3,10
15,Triadimefon,Triadimefon,microsomes,3.796829723,1,10
15,Triadimefon,Triadimefon,microsomes,3.995422538,2,10
15,Triadimefon,Triadimefon,microsomes,4.084402023,3,10
30,Triadimefon,Triadimefon,microsomes,3.689670522,1,10
30,Triadimefon,Triadimefon,microsomes,3.770627455,2,10
30,Triadimefon,Triadimefon,microsomes,3.708045842,3,10
60,Triadimefon,Triadimefon,microsomes,2.923805377,2,10
60,Triadimefon,Triadimefon,microsomes,2.81999575,3,10
90,Triadimefon,Triadimefon,microsomes,1.627429272,1,10
90,Triadimefon,Triadimefon,microsomes,1.556106647,2,10
90,Triadimefon,Triadimefon,microsomes,1.615639352,3,10
0,Triadimefon,Triadimefon,microsomes,0.953124823,1,2.89
0,Triadimefon,Triadimefon,microsomes,0.851227037,2,2.89
0,Triadimefon,Triadimefon,microsomes,0.735830293,3,2.89
15,Triadimefon,Triadimefon,microsomes,1.438977536,1,2.89
15,Triadimefon,Triadimefon,microsomes,1.147878572,2,2.89
15,Triadimefon,Triadimefon,microsomes,1.273836719,3,2.89
30,Triadimefon,Triadimefon,microsomes,1.170628317,1,2.89
30,Triadimefon,Triadimefon,microsomes,1.153347335,2,2.89
30,Triadimefon,Triadimefon,microsomes,0.90609785,3,2.89
60,Triadimefon,Triadimefon,microsomes,0.796555881,1,2.89
60,Triadimefon,Triadimefon,microsomes,0.724314066,2,2.89
60,Triadimefon,Triadimefon,microsomes,0.705525399,3,2.89
90,Triadimefon,Triadimefon,microsomes,0.684015583,1,2.89
90,Triadimefon,Triadimefon,microsomes,0.645877009,2,2.89
90,Triadimefon,Triadimefon,microsomes,0.633912406,3,2.89
0,Triadimefon,Triadimefon,microsomes,24.40802225,1,50
0,Triadimefon,Triadimefon,microsomes,24.82657815,2,50
0,Triadimefon,Triadimefon,microsomes,23.72724558,3,50
15,Triadimefon,Triadimefon,microsomes,25.6223204,1,50
15,Triadimefon,Triadimefon,microsomes,24.15898057,2,50
15,Triadimefon,Triadimefon,microsomes,24.97516518,3,50
30,Triadimefon,Triadimefon,microsomes,26.62994332,2,50
